Material,Texture,ScaleU,ScaleV,OffsetU,OffsetV,Blend
Sand,Sand,28,24,0,0,0.72
Limestone,Limestone,1.1,0.9,0,0,0.58
LimestoneVariation,Limestone,1.3,1.0,0.31,0.17,0.68
QuarryStone,QuarryStone,1.6,1.4,0,0,0.72
PreparedStone,Limestone,0.9,0.8,0.13,0.29,0.42
RampEarth,Sand,8,16,0.19,0.07,0.64
Wood,Wood,1,3,0,0,0.72
DarkWood,Wood,1.1,3.5,0.37,0,0.74
Skin,None,1,1,0,0,0
ClothingLinen,Cloth,4,4,0,0,0.42
ClothingBlue,Cloth,5,5,0.25,0.25,0.48
Headwear,Cloth,3,3,0,0,0.38
Rope,Wood,1,6,0,0,0.40
ToolMetal,None,1,1,0,0,0
Water,Water,10,4,0,0,0.72
Floodplain,Foliage,16,12,0,0,0.56
Foliage,Foliage,3,4,0.21,0.34,0.68
