Shape,Vertex ID,X,Y,Z,Normal X,Normal Y,Normal Z,Texture U,Texture V,Notes
Triangle,0,-0.5,-0.5,0,0,0,1,0,0,Left base
Triangle,1,0.5,-0.5,0,0,0,1,1,0,Right base
Triangle,2,0,0.5,0,0,0,1,0.5,1,Apex
Plane,0,-0.5,0,-0.5,0,1,0,0,0,Negative X negative Z
Plane,1,0.5,0,-0.5,0,1,0,1,0,Positive X negative Z
Plane,2,0.5,0,0.5,0,1,0,1,1,Positive X positive Z
Plane,3,-0.5,0,0.5,0,1,0,0,1,Negative X positive Z
Cube,0,-0.5,-0.5,0.5,0,0,1,0,0,+Z face
Cube,1,0.5,-0.5,0.5,0,0,1,1,0,+Z face
Cube,2,0.5,0.5,0.5,0,0,1,1,1,+Z face
Cube,3,-0.5,0.5,0.5,0,0,1,0,1,+Z face
Cube,4,0.5,-0.5,-0.5,0,0,-1,0,0,-Z face
Cube,5,-0.5,-0.5,-0.5,0,0,-1,1,0,-Z face
Cube,6,-0.5,0.5,-0.5,0,0,-1,1,1,-Z face
Cube,7,0.5,0.5,-0.5,0,0,-1,0,1,-Z face
Cube,8,0.5,-0.5,0.5,1,0,0,0,0,+X face
Cube,9,0.5,-0.5,-0.5,1,0,0,1,0,+X face
Cube,10,0.5,0.5,-0.5,1,0,0,1,1,+X face
Cube,11,0.5,0.5,0.5,1,0,0,0,1,+X face
Cube,12,-0.5,-0.5,-0.5,-1,0,0,0,0,-X face
Cube,13,-0.5,-0.5,0.5,-1,0,0,1,0,-X face
Cube,14,-0.5,0.5,0.5,-1,0,0,1,1,-X face
Cube,15,-0.5,0.5,-0.5,-1,0,0,0,1,-X face
Cube,16,-0.5,0.5,0.5,0,1,0,0,0,+Y face
Cube,17,0.5,0.5,0.5,0,1,0,1,0,+Y face
Cube,18,0.5,0.5,-0.5,0,1,0,1,1,+Y face
Cube,19,-0.5,0.5,-0.5,0,1,0,0,1,+Y face
Cube,20,-0.5,-0.5,-0.5,0,-1,0,0,0,-Y face
Cube,21,0.5,-0.5,-0.5,0,-1,0,1,0,-Y face
Cube,22,0.5,-0.5,0.5,0,-1,0,1,1,-Y face
Cube,23,-0.5,-0.5,0.5,0,-1,0,0,1,-Y face
Pyramid,0,-0.5,-0.5,0.5,0,0.447214,0.894427,0,0,+Z side
Pyramid,1,0.5,-0.5,0.5,0,0.447214,0.894427,1,0,+Z side
Pyramid,2,0,0.5,0,0,0.447214,0.894427,0.5,1,+Z side apex
Pyramid,3,0.5,-0.5,0.5,0.894427,0.447214,0,0,0,+X side
Pyramid,4,0.5,-0.5,-0.5,0.894427,0.447214,0,1,0,+X side
Pyramid,5,0,0.5,0,0.894427,0.447214,0,0.5,1,+X side apex
Pyramid,6,0.5,-0.5,-0.5,0,0.447214,-0.894427,0,0,-Z side
Pyramid,7,-0.5,-0.5,-0.5,0,0.447214,-0.894427,1,0,-Z side
Pyramid,8,0,0.5,0,0,0.447214,-0.894427,0.5,1,-Z side apex
Pyramid,9,-0.5,-0.5,-0.5,-0.894427,0.447214,0,0,0,-X side
Pyramid,10,-0.5,-0.5,0.5,-0.894427,0.447214,0,1,0,-X side
Pyramid,11,0,0.5,0,-0.894427,0.447214,0,0.5,1,-X side apex
Pyramid,12,-0.5,-0.5,-0.5,0,-1,0,0,0,Base
Pyramid,13,0.5,-0.5,-0.5,0,-1,0,1,0,Base
Pyramid,14,0.5,-0.5,0.5,0,-1,0,1,1,Base
Pyramid,15,-0.5,-0.5,0.5,0,-1,0,0,1,Base
