Shape,Triangle ID,Index 0,Index 1,Index 2,Winding,Face
Triangle,0,0,1,2,CCW,+Z
Plane,0,0,2,1,CCW,+Y
Plane,1,0,3,2,CCW,+Y
Cube,0,0,1,2,CCW,+Z
Cube,1,0,2,3,CCW,+Z
Cube,2,4,5,6,CCW,-Z
Cube,3,4,6,7,CCW,-Z
Cube,4,8,9,10,CCW,+X
Cube,5,8,10,11,CCW,+X
Cube,6,12,13,14,CCW,-X
Cube,7,12,14,15,CCW,-X
Cube,8,16,17,18,CCW,+Y
Cube,9,16,18,19,CCW,+Y
Cube,10,20,21,22,CCW,-Y
Cube,11,20,22,23,CCW,-Y
Pyramid,0,0,1,2,CCW,+Z side
Pyramid,1,3,4,5,CCW,+X side
Pyramid,2,6,7,8,CCW,-Z side
Pyramid,3,9,10,11,CCW,-X side
Pyramid,4,12,13,14,CCW,-Y base
Pyramid,5,12,14,15,CCW,-Y base
