Index,Name,StartTime,Duration,CameraStart,CameraEnd,TargetStart,TargetEnd,FovStart,FovEnd,ConstructionAction,HeroAction,SunAction,Notes
1,OpeningOverview,0,5,"(125;75;105)","(105;62;90)","(0;18;-35)","(0;20;-42)",52,48,"SetCheckpoint 25%","Continue from t=0","08.00 to 08.35","Slow monumental site opening"
2,QuarryOverview,5,6,"(-70;40;60)","(-90;28;42)","(-118;-3;-10)","(-124;-5;-15)",52,49,"SetCheckpoint 35%","Continue","08.35 to 08.77","Intentional cut to quarry; terraces and haul route"
3,ExtractionDetail,11,6,"(-96;16;24)","(-112;11;-5)","(-122;-6;-14)","(-123;-6.8;-16)",48,44,"SetCheckpoint 40%","Continue","08.77 to 09.19","Mallet work and stone dust"
4,RepositoryLogistics,17,6,"(-80;25;50)","(-40;18;58)","(-55;1;29)","(-25;1;37)",50,47,"SetCheckpoint 50%","Continue","09.19 to 09.61","Intentional cut; rough to finished stone flow"
5,LoadingYard,23,5,"(-35;14;62)","(12;11;62)","(-10;1;41)","(10;1;40)",48,45,"SetCheckpoint 75%","Reset hero at shot start","09.61 to 09.96","Loaded sledge and transport preparation"
6,TransportGround,28,7,"(25;12;66)","(14;11;48)","(7;1.2;40)","(2;2;35)",46,44,"Keep 75%","Play hero t=5..12","09.96 to 10.45","Pullers rope sledge and runner dust"
7,RampPull,35,8,"(28;18;38)","(24;22;12)","(0;5;17)","(0;12;-2)",47,45,"Keep 75%","Play hero t=12..20","10.45 to 11.01","Incline heavy gait and scaffold"
8,UpperConstruction,43,7,"(52;30;10)","(58;38;-12)","(0;18;-25)","(0;28;-42)",46,44,"Keep 75%","Play hero t=20..27","11.01 to 11.50","Upper platform lever and speculative lifting rigs"
9,BuildTimelapse,50,24,"(100;60;85)","(86;58;72)","(0;18;-42)","(0;26;-42)",50,47,"18% to 100% at 3.075x","Hero finishes at t=28.5","11.50 to 14.50","Intentional cut; stable wide construction progression"
10,NearComplete,74,5,"(75;44;54)","(60;37;40)","(0;29;-42)","(0;32;-42)",47,45,"CompletePyramid 100%","Hold complete","14.50 to 15.41","Upper courses and summit"
11,CompletionReveal,79,6,"(45;20;36)","(70;30;52)","(0;25;-42)","(0;28;-42)",45,48,"Keep 100%","Hold complete","15.41 to 16.50","Intentional cut; complete 28-level monument"
12,NileContext,85,6,"(120;40;-190)","(145;36;-165)","(130;0;-105)","(105;2;-95)",52,50,"Keep 100%","Hold complete","16.50 to 16.69","Intentional cut; water floodplain boats and trees"
13,SphinxContext,91,4,"(132;24;-132)","(145;30;-115)","(112;5;-102)","(112;5;-102)",50,50,"Keep 100%","Hold complete","16.69 to 16.81","Broader Giza context; no contemporaneity claim"
14,FinalOverview,95,6,"(120;58;90)","(102;54;74)","(0;25;-42)","(0;27;-42)",50,47,"Keep 100%","Hold complete","16.81 to 17.00","Intentional cut; final golden-hour hold"
