Time,Shot,Subsystem,Action,Value,Purpose,Notes
0,OpeningOverview,Showcase,Start,1x,"Begin deterministic presentation","F5 or --showcase"
0,OpeningOverview,Construction,SetProgress,0.25,"Show early monumental state","Existing timeline public API"
0,OpeningOverview,Hero,SeekAndPlay,0,"Establish deterministic animation state","Historical particles cleared"
0,OpeningOverview,Sun,SetManualTime,8.00,"Morning opening","Automatic sun paused only during showcase"
5,QuarryOverview,Construction,SetProgress,0.35,"Reveal quarry-stage activity","Table checkpoint"
11,ExtractionDetail,Construction,SetProgress,0.40,"Expose extraction workers","Mallet dust uses existing event system"
17,RepositoryLogistics,Construction,SetProgress,0.50,"Show logistics development","Hard geographic camera cut"
23,LoadingYard,Construction,SetProgress,0.75,"Ensure hero infrastructure is present","Phase 5 logistics state"
23,LoadingYard,Hero,ResetAndPlay,0,"Start transport narrative","Existing ConstructionAnimationController"
28,TransportGround,Hero,Continue,5,"Ground pulling segment","Sledge dust remains capped"
35,RampPull,Hero,Continue,12,"Ramp pulling segment","Camera does not move the sledge"
43,UpperConstruction,Hero,Continue,20,"Upper placement and lever segment","Speculative rig stays secondary"
50,BuildTimelapse,Construction,SeekAndPlay,"0.18 at 3.075x","Build lower through complete in 24 seconds","Existing 90-second timeline"
50,BuildTimelapse,Sun,Interpolate,"11.50 to 14.50","Morning-to-afternoon construction","Existing SunController"
74,NearComplete,Construction,Complete,1.00,"Guarantee exact final pyramid","7714 blocks and 28 levels"
79,CompletionReveal,Sun,Interpolate,"15.41 to 16.50","Warm completed-monument reveal","Existing shadow system"
85,NileContext,Environment,Continue,"Nile UV and vegetation motion","Show wider landscape"
95,FinalOverview,Sun,Interpolate,"16.81 to 17.00","Golden-hour final hold","No automatic reset"
101,FinalOverview,Showcase,Complete,101,"Hold final camera and monument","Manual input or F5 can leave/restart"
