Zone,CenterX,CenterY,CenterZ,ExtentX,ExtentY,ExtentZ,PrimaryObjects,Purpose,Notes
PyramidZone,0,23,-42,42,23,42,Pyramid blocks,Main monument,Active face positive Z
RampNetwork,0,5,22,34,8,24,Ramps stairs posts platforms,Construction access,Hero route preserved
ScaffoldZone,0,8,1.5,31,9,4,22 scaffold modules,Active-face access,Connected to upper platform
QuarryZone,-128,-3.5,-15,32,7.5,36,Terraces extraction bays spoil,Open-cut extraction,130.82 units from pyramid
RoughRepository,-82,2,12,16,4,14,48 rough stones,Incoming stone depot,Deterministic varied rotation
CuttingZone,-58,2,26,13,4,12,18 stones and cutting beds,Dressing stage,Workers and tools
FinishedRepository,-34,2,35,14,5,13,60 ordered blocks,Finished depot,Two-level regular grid
LoadingStation,-10,2,42,13,4,10,Platform sledge beams stones,Transport start,Adjacent to hero route
TransportZone,-45,1,31,50,2,10,Road posts sledges,Long haul corridor,Links quarry and pyramid
TimberYard,48,2,7,13,4,14,Logs beams frames,Wood storage,Repeated primitives
WorkCamp,51,2.5,-25,14,5,12,Shelters jars crates workers,Support area,Secondary composition
NileContext,0,0,-155,170,1,24,Water floodplain trees,Background context,Distant from construction
SphinxContext,92,2,-105,16,5,12,Seven primitive parts,Secondary landmark,Context not chronology claim
