Key,Action,Default,CLIEquivalent,Notes
F5,"Start or restart full synchronized showcase","Manual mode","--showcase","Resets required presentation state only"
Shift+F5,"Cancel showcase and restore manual camera","Not active","None","Manual camera always wins"
F6,"Pause or resume showcase presentation clock","Playing","None","Does not overload Space"
W/A/S/D/Q/E,"Move free camera and cancel showcase","Normal speed","None","Existing Phase 6 controls preserved"
Mouse,"Look and cancel showcase","Enabled","None","First captured cursor sample is ignored"
Mouse wheel,"Zoom/orbit radius and cancel showcase","Enabled","None","Existing behavior preserved"
0,"Reset camera and cancel showcase","Overview","--preset 1","Existing reset"
1-9,"Select preset and cancel showcase","Preset 1","--preset 1..9","Shift selects instant transition"
O,"Pyramid orbit and cancel showcase","Off","--camera-mode orbit","Existing mode"
T,"Transport follow and cancel showcase","Off","--camera-mode follow","Existing mode"
G,"Phase 6 camera-only guided demo and cancel showcase","Off","--camera-mode demo","Distinct from synchronized F5 showcase"
I,"Print render statistics and showcase shot/time","No output","--render-stats","No per-frame console spam"
F4,"Toggle atmospheric effects","On","--effects / --no-effects","Showcase respects explicit state"
Space,"Pause/resume hero or articulation","Playing","None","Independent existing control"
None,"Start showcase at deterministic time","0 seconds","--showcase-time 0..101","Historical particles intentionally cleared"
None,"Set presentation rate","1x","--showcase-speed 0.25..4","Used for accelerated regression"
None,"Run Phase 12 CPU validation","N/A","--validate-showcase","Runs timeline camera and state checks"
